book_id,title,author,concept_slug,strength,rationale,model,created_at
007144fb-fe84-47f6-93f8-616566a01b7f,Mastering the Art of Asset Allocation : Comprehensive Approaches to Managing Risk and Optimizing Returns,CFA David M. Darst,asset_allocation,1.0,"The book is entirely dedicated to asset allocation strategies, covering comprehensive approaches to distributing capital across asset classes.",claude-sonnet-4-6,2026-06-11T05:33:14.924242+00:00
007144fb-fe84-47f6-93f8-616566a01b7f,Mastering the Art of Asset Allocation : Comprehensive Approaches to Managing Risk and Optimizing Returns,CFA David M. Darst,asset_classes_and_financial_instruments,1.0,"The book explicitly covers determining the portfolio value of various asset classes, requiring detailed examination of different investment vehicles.",claude-sonnet-4-6,2026-06-11T05:33:14.924242+00:00
007144fb-fe84-47f6-93f8-616566a01b7f,Mastering the Art of Asset Allocation : Comprehensive Approaches to Managing Risk and Optimizing Returns,CFA David M. Darst,risk_return_tradeoff,1.0,"The book focuses on managing risk and optimizing returns, including analysis of investment returns and standard deviations across different market environments.",claude-sonnet-4-6,2026-06-11T05:33:14.924242+00:00
007144fb-fe84-47f6-93f8-616566a01b7f,Mastering the Art of Asset Allocation : Comprehensive Approaches to Managing Risk and Optimizing Returns,CFA David M. Darst,diversification,1.0,"Asset allocation inherently involves spreading exposure across assets, and the book covers correlation and risk reduction through diversification strategies.",claude-sonnet-4-6,2026-06-11T05:33:14.924242+00:00
007144fb-fe84-47f6-93f8-616566a01b7f,Mastering the Art of Asset Allocation : Comprehensive Approaches to Managing Risk and Optimizing Returns,CFA David M. Darst,portfolio_rebalancing,0.5,"As an advanced, applications-oriented asset allocation book, portfolio rebalancing is likely covered as part of maintaining target allocations over time.",claude-sonnet-4-6,2026-06-11T05:33:14.924242+00:00
007144fb-fe84-47f6-93f8-616566a01b7f,Mastering the Art of Asset Allocation : Comprehensive Approaches to Managing Risk and Optimizing Returns,CFA David M. Darst,market_structure_and_regime_identification,0.5,"The description explicitly mentions changing patterns of investment returns and standard deviations in different time periods and market environments, indicating regime analysis.",claude-sonnet-4-6,2026-06-11T05:33:14.924242+00:00
007144fb-fe84-47f6-93f8-616566a01b7f,Mastering the Art of Asset Allocation : Comprehensive Approaches to Managing Risk and Optimizing Returns,CFA David M. Darst,time_horizon_and_goal_based_investing,0.5,"Comprehensive asset allocation approaches typically address how investment goals and time horizons shape portfolio design, consistent with the book's broad scope.",claude-sonnet-4-6,2026-06-11T05:33:14.924242+00:00
009045ca-7d40-40f7-9c88-7667cf75480a,Valuing Financial Institutions,Z. Christopher Mercer,intrinsic_value_estimation,1.0,"The title explicitly focuses on valuing financial institutions, implying deep coverage of intrinsic value estimation methodologies applied to banks and financial firms.",claude-sonnet-4-6,2026-06-11T05:33:22.763235+00:00
009045ca-7d40-40f7-9c88-7667cf75480a,Valuing Financial Institutions,Z. Christopher Mercer,financial_statement_analysis,1.0,"Valuing financial institutions requires thorough analysis of their balance sheets, income statements, and cash flow statements, which is a core component of such a book.",claude-sonnet-4-6,2026-06-11T05:33:22.763235+00:00
009045ca-7d40-40f7-9c88-7667cf75480a,Valuing Financial Institutions,Z. Christopher Mercer,valuation_multiples_and_relative_valuation,1.0,"Valuation of financial institutions typically relies heavily on multiples such as P/B, P/E, and price-to-tangible book, making relative valuation a major topic.",claude-sonnet-4-6,2026-06-11T05:33:22.763235+00:00
